cell,child_canon,child_t1_floored,child_t1_raw,outcome,step
elimination/0/0,abb038a1fae916a368f6aa2e6b6278970ad256d1ba11c3d41fdefa010f454940,0.0,0.0,t1_invalid_too_short,251
territory/3/1,6ca662cf276eec4ac7481bf5b36faf156eff33627a3d6df59cda601560bf1d5e,0.04166666666666663,0.04166666666666663,t1_invalid_draw_majority,252
threshold/4/3,add5af0ff31cc94518fc87c51a969fb9f02fa5aaa00df44a49fd01616cc938fc,0.125,0.125,lost_first_batch,253
connection/1/0,7fabed23b8a5c49ae3012a6a6fdb6ce5602683e3bbd0d3119720c4e58166de4e,0.3125,0.3125,invalid_draw_majority,254
elimination/0/0,d4a44766bd3b43d8cd08aeaa4349360f1e7c8b973ed9a15542e5ae4dc6d368a7,0.0,0.0,t1_invalid_too_short,255
threshold/4/2,f7aef14b6ad19c271e1fd5e2bac3dc6097274c765c062a68b66165c47738ba00,0.25,0.25,lost_first_batch,256
connection/4/0,773d191c208af8924830de777d50432eb576767a3d20eb4cc24fdc7289c3daf5,0.375,0.375,invalid_draw_majority,257
connection/3/1,04c8e9bcf1608c6265f66e9fa7096be776b8c8c56e5cc646ad5b6775277b3ae4,0.41666666666666663,0.41666666666666663,lost_first_batch,258
connection/4/1,806015f0e0889437d9dec301a164ba0c1e412a3164a16a93b19292cd7aa54af7,0.20833333333333337,0.20833333333333337,lost_first_batch,259
territory/4/3,7289a021430c94fd61dcb6080969ce016ba62bec95cd05bb6f978eac5434ae25,0.29166666666666663,0.29166666666666663,invalid_draw_majority,260
territory/4/2,d69b061f85b19409ebfedd3fe8340a9a2baa9737f861f33d1cc2ded58b31eb89,0.08333333333333337,0.08333333333333337,t1_invalid_draw_majority,261
threshold/4/2,8a97e3d38ae0ff87b24bc344aafef94aa779dc562e78b462f13334f5ae7a790a,0.41666666666666663,0.41666666666666663,lost_first_batch,262
threshold/4/3,b53e6ce7aa258d2e952862636b50415decb14876257b1d76d98c137331c4c910,0.125,0.125,t1_invalid_draw_majority,263
territory/4/2,d17a33df6b69f4e6bb5d68c2b74b59e88ddda9843bd08500f765f689608e0a34,0.25,0.25,invalid_draw_majority,264
connection/4/1,d3b070c2a13a423865f1bb9a22b3d0a63aa0e2cd82a1776738d7eaf03a2952df,0.375,0.375,lost_first_batch,265
connection/4/1,ed4c8763f373322f3a78fb6cab2bc0a728b25eda2dcc9a078db3dd60949d746d,0.29166666666666663,0.29166666666666663,lost_first_batch,266
threshold/3/1,d9832c8e9e8939b5fdbb9941406b8d1a3267431635052211231b0256174ad808,0.0,0.0,t1_invalid_draw_majority,267
territory/4/4,1d548a832342f1bc0a12cf8bd0027b8b11ce1f7c5fa18a518888807fcf2a070c,0.0625,0.0625,t1_invalid_draw_majority,268
connection/4/1,7075c30887b320589e61bcdc5dd795fe7c72d93175d62c3cdfc1e810c8ff0f12,0.45833333333333337,0.45833333333333337,lost_first_batch,269
elimination/0/0,a0fa8284030d9d81185ff805e6161edb877e1a9890a28574a77d2597326ff0be,0.0,0.0,t1_invalid_too_short,270
territory/3/3,d6e4157bf07ed2803971a8c1bdaae9fa761d1ad6776e10ef9413c5a5875e8703,0.0,0.0,guard_vetoed_tilt,271
connection/2/1,87de14fbc3808717305e6ffa35d7c1bb18d38d2cd7b6f01dad2dca11ac97b0c5,0.39583333333333337,0.39583333333333337,lost_first_batch,272
threshold/4/4,c3d64522a4086d6638d8edfb2ff093d1def17693e10c04cb47080e42eba7dd93,0.25,0.25,guard_vetoed_reach,273
elimination/0/0,ca7c97f959ff3c3a2e5a49032b7131d0eb5d53ed4657701eeaa65dac7b3c7490,0.0,0.0,t1_invalid_too_short,274
connection/4/1,f236f81041db289dd59af633bac644ffec0280839015201246622777202ec2de,0.27083333333333337,0.27083333333333337,lost_first_batch,275
connection/2/2,136730b799490c537f91804564490d1c0b9560d37ca263965367dd429bf62a26,0.47916666666666663,0.47916666666666663,lost_first_batch,276
territory/4/3,1d0d3f32217feb767a2a7449489ccabb48b5f44bac5c4fa7932fdafd295713ed,0.41666666666666663,0.41666666666666663,guard_vetoed_tilt,277
threshold/3/1,e160b30d71e3dd6695937b4fcc50ba3f0a418e243a2da7c51e7b5b9346b5c2aa,0.0,-0.29166666666666663,invalid_draw_majority,278
connection/2/1,96fdc51090d365f6fb2ffa8e32e7785f3701571894c3b98af15f45059f538424,0.4375,0.4375,lost_first_batch,279
elimination/0/0,8ee4d598ad31c149bfd6a6ab18205b4f17dea24f5371a3e3aff5cc720483b7db,0.0,0.0,t1_invalid_too_short,280
connection/2/1,072513c878ec8d058694adc9f6a450529094864b07e30f959e8011ce7be77c3e,0.33333333333333337,0.33333333333333337,lost_first_batch,281
elimination/0/0,614937969d051ce59810dc4c439d1bd258abda6471dec8388a959a3d1c74462f,0.0,0.0,t1_invalid_draw_majority,282
territory/4/3,f4471037e5a3bac83a6c40c890abc6d165cb4910ae7ceab69134e2029e4e3a7a,0.29166666666666663,0.29166666666666663,invalid_draw_majority,283
territory/3/2,880e4b479e3fd7aee328a9b0901ef24fd67e69d96b48592285f3f1ce9817200b,0.0,-0.041666666666666685,lost_first_batch,284
threshold/3/2,5604045120e37fb670e814527bb30d18a058fa134c415be8ac80af58be0a25c7,0.47916666666666663,0.47916666666666663,guard_vetoed_tilt,285
elimination/0/0,c825c94b17d03519c1c332ae7f57519ae6ab677a09fc3b80fb41515ffa0d93bf,0.0,0.0,t1_invalid_too_short,286
territory/4/3,948104aadf03536ec7bb6e928f213e17d11564544eb08c00cbf0948b31fed765,0.41666666666666663,0.41666666666666663,replaced,287
connection/0/0,5e85f489ae4abb3b1012a9458b9fd80fc9341b427131516702a29271726ce330,0.0,0.0,t1_invalid_draw_majority,288
elimination/0/0,842620c97df77127c842befeddb83be6e05081b8ff8d8717f9992e69fbc123f1,0.0,0.0,t1_invalid_too_short,289
territory/3/1,40f28445affabe37be62e5bc6fcdf6125b1189789426aa8ec048fb2ba077f9d1,0.08333333333333337,0.08333333333333337,t1_invalid_draw_majority,290
territory/4/4,a0b482b5d84701ee8141b6f08bd978e82238e0ae2c7231a1c30f66f3f5ddf7f1,0.4375,0.4375,replaced,291
connection/0/0,d4c20254e704f7138e2287146c697f2d8c74ed1af6cec41a39c2b8022aa083c4,0.0,0.0,t1_invalid_draw_majority,292
territory/1/2,c2665f482b4562a09ec79230444c45ccc734d437a2e18de1a31fc99af8c62913,0.41666666666666663,0.41666666666666663,guard_vetoed_tilt,293
connection/4/3,e1cec35612156129115c9e02e3952c7a9a73b88ab623290737039be88d9a7d03,0.08333333333333337,0.08333333333333337,t1_invalid_draw_majority,294
connection/2/1,ea3c33f3d8d0bbd807a89ad90b2704867c5ed67d91b5a1641523c5c024851a80,0.41666666666666663,0.41666666666666663,lost_first_batch,295
territory/4/1,666ce05aec9622ba13666013ffd137d275bde6657ab9f4897fc3ef11049a18ac,0.0,0.0,t1_invalid_draw_majority,296
connection/3/3,535b04527ee59a895ee4d7a084d57268ed072d59f583a2cf0074256a69d8d891,0.35416666666666663,0.35416666666666663,lost_first_batch,297
connection/3/2,c8cb4b0444dec5f5ec59855c0a5edcda5c8858ddee93c23d5c061abe3c55ec27,0.16666666666666663,0.16666666666666663,lost_first_batch,298
connection/4/2,80820402aa15d0ef1e9d62751eedc04a0697747b3a0afade9df64a0ecafe5489,0.29166666666666663,0.29166666666666663,lost_first_batch,299
threshold/4/2,b8cf3085421ac794253037bc80bcc1e163decb48d631996306d25b37b1b7ce91,0.0,-0.10416666666666669,lost_first_batch,300
