section,arm,canon,family,cell,t1_raw,t1_floored,non_draw_share,mean_length,full_conv_mean_floored,n_full_conv,valid,outcome
stage0,,b461c5160c5ed042,connection,connection/4/1,0.500000,0.500000,1.0000,16.75,,,True,
stage0,,17f660bc480f84f1,connection,connection/3/1,0.500000,0.500000,1.0000,18.75,,,True,
stage0,,474d73fa59f95d67,elimination,elimination/0/0,0.000000,0.000000,1.0000,1.00,,,False,too_short
stage0,,3920dfa0d6ef3b0d,connection,connection/3/1,0.125000,0.125000,1.0000,16.54,,,True,
stage0,,2cade67e9a55c397,threshold,threshold/4/1,-0.062500,0.000000,0.9583,37.42,,,True,
stage0,,b589561f4dfb53ab,territory,territory/3/2,0.083333,0.083333,1.0000,56.67,,,True,
stage0,,fee88f5b6072a5af,connection,connection/3/0,0.291667,0.291667,0.9167,14.00,,,True,
stage0,,e4b06ed83dceb386,threshold,threshold/3/1,0.208333,0.208333,1.0000,30.79,,,True,
stage0,,67e08e70fb31919d,connection,connection/4/2,0.000000,0.000000,0.0000,66.00,,,False,draw_majority
stage0,,5ad366006c43834f,connection,connection/3/1,0.270833,0.270833,0.7083,66.12,,,True,
stage0,,344ec29f992b7a86,territory,territory/3/1,0.000000,0.000000,0.0000,44.67,,,False,draw_majority
stage0,,53118d356d7df150,connection,connection/4/1,0.458333,0.458333,1.0000,8.71,,,True,
stage0,,3d787ca53825c70f,connection,connection/0/0,0.000000,0.000000,0.0000,2.00,,,False,draw_majority
stage0,,7d9dde46fb01116d,connection,connection/1/1,0.270833,0.270833,0.8750,32.42,,,True,
stage0,,f9c1acfe4873e17e,connection,connection/4/1,0.250000,0.250000,0.8333,25.88,,,True,
stage0,,5c567223dc98da12,territory,territory/4/2,0.333333,0.333333,1.0000,54.92,,,True,
stage0,,feede197db718b23,elimination,elimination/0/0,0.000000,0.000000,1.0000,1.00,,,False,too_short
stage0,,a996ca63b0849bd6,territory,territory/2/2,0.187500,0.187500,0.8750,66.38,,,True,
stage0,,9bfd7cb71507e9ee,connection,connection/2/1,0.020833,0.020833,0.0417,50.96,,,False,draw_majority
stage0,,93ceaecf82f83486,threshold,threshold/4/2,-0.125000,0.000000,0.5833,54.25,,,True,
stage0,,7fe9415522bf29c9,threshold,threshold/3/1,0.041667,0.041667,1.0000,43.21,,,True,
stage0,,f3e4838b481bd051,connection,connection/4/2,0.166667,0.166667,1.0000,26.17,,,True,
stage0,,de0644611279e3f4,connection,connection/2/2,0.270833,0.270833,0.5417,57.33,,,True,
stage0,,50b2ded586eb20b1,elimination,elimination/0/0,0.000000,0.000000,1.0000,1.00,,,False,too_short
stage0,,ab4865f0ffc3fd93,threshold,threshold/4/1,-0.041667,0.000000,1.0000,29.38,,,True,
stage0,,66d398fa65f11677,elimination,elimination/0/0,0.000000,0.000000,1.0000,1.00,,,False,too_short
stage0,,b84692291efb1997,elimination,elimination/0/0,0.000000,0.000000,1.0000,1.00,,,False,too_short
stage0,,17a11894948bf642,connection,connection/3/3,0.333333,0.333333,1.0000,56.17,,,True,
stage0,,6d087dc6ae984b35,connection,connection/3/1,0.416667,0.416667,1.0000,13.50,,,True,
stage0,,ec4f105cf9d20883,connection,connection/4/3,0.083333,0.083333,0.1667,53.50,,,False,draw_majority
stage0,,7e9d7eb3a5e2394e,territory,territory/3/2,0.458333,0.458333,1.0000,42.08,,,True,
stage0,,a5ce0c6c74f3d00a,connection,connection/4/1,0.208333,0.208333,1.0000,12.62,,,True,
stage0,,a4e64c5a94362e0e,connection,connection/1/2,0.479167,0.479167,0.9583,38.21,,,True,
stage0,,24c2097afce1c42e,elimination,elimination/0/0,0.000000,0.000000,1.0000,1.00,,,False,too_short
stage0,,c850ebba26a8d4d3,connection,connection/2/2,0.500000,0.500000,1.0000,47.92,,,True,
stage0,,2387ebdfd4321c12,connection,connection/4/1,0.250000,0.250000,1.0000,22.17,,,True,
stage0,,9e21105ca502f029,connection,connection/1/0,0.333333,0.333333,1.0000,10.83,,,True,
stage0,,f7972efd830cbc6c,connection,connection/3/1,0.062500,0.062500,0.7917,42.38,,,True,
stage0,,4f24759c2016c5ab,connection,connection/0/0,0.000000,0.000000,0.0000,2.00,,,False,draw_majority
stage0,,624501654c93ec69,connection,connection/2/1,0.437500,0.437500,0.9583,16.62,,,True,
stage0,,2cd3f337706666e2,threshold,threshold/4/3,0.270833,0.270833,0.5417,88.46,,,True,
stage0,,bc71ace789b87033,elimination,elimination/0/0,0.000000,0.000000,1.0000,1.00,,,False,too_short
stage0,,35bbf941a895c14d,territory,territory/3/2,0.000000,0.000000,1.0000,59.00,,,True,
stage0,,866574be004e6346,connection,connection/3/3,0.291667,0.291667,0.5833,63.50,,,True,
stage0,,695e808ce3655fc6,threshold,threshold/3/2,0.416667,0.416667,1.0000,76.92,,,True,
stage0,,18f1c21902e0c41a,connection,connection/4/2,-0.041667,0.000000,1.0000,12.12,,,True,
stage0,,bb528ceca461ffc1,territory,territory/4/4,0.062500,0.062500,0.1250,69.71,,,False,draw_majority
stage0,,99ede45afc31807d,territory,territory/2/2,-0.083333,0.000000,1.0000,44.58,,,True,
stage0,,7cdd64e02b1ae73b,connection,connection/4/1,0.395833,0.395833,0.9583,13.96,,,True,
stage0,,a028bbc0d59f100b,connection,connection/4/2,0.333333,0.333333,0.7500,48.04,,,True,
stage0,,85ea17dcae676e8d,threshold,threshold/4/2,0.125000,0.125000,0.4167,63.25,,,False,draw_majority
stage0,,cf624c743328c621,threshold,threshold/3/2,0.479167,0.479167,0.9583,81.62,,,True,
stage0,,e82f220bde55d72e,territory,territory/2/1,0.000000,0.000000,1.0000,40.83,,,True,
stage0,,e961aa45d34bcf22,elimination,elimination/0/0,0.000000,0.000000,1.0000,1.00,,,False,too_short
stage0,,e2bd302a93b20375,threshold,threshold/4/3,0.333333,0.333333,0.6667,93.25,,,True,
stage0,,6ea1efa04b2fd1e7,connection,connection/3/1,0.166667,0.166667,1.0000,17.42,,,True,
stage0,,a60d4462eae61b5e,connection,connection/4/3,0.250000,0.250000,1.0000,79.33,,,True,
stage0,,5e7b8899abde1216,connection,connection/2/1,0.500000,0.500000,1.0000,10.58,,,True,
stage0,,c9033f2bfbbd484e,territory,territory/4/2,0.291667,0.291667,1.0000,51.83,,,True,
stage0,,96602b47df0ae86c,elimination,elimination/0/0,0.000000,0.000000,1.0000,1.00,,,False,too_short
stage0,,f9d2425f4b55e10a,connection,connection/4/1,0.270833,0.270833,0.7083,28.46,,,True,
stage0,,b9e5d5cbef429ad3,territory,territory/3/2,0.312500,0.312500,0.9583,59.92,,,True,
stage0,,ad4b78d3e7290347,connection,connection/4/1,0.125000,0.125000,1.0000,9.71,,,True,
stage0,,eaa0012617587bb9,territory,territory/4/2,0.166667,0.166667,0.3333,56.79,,,False,draw_majority
stage0,,1441680a0e216b4d,connection,connection/3/3,0.041667,0.041667,0.1667,77.62,,,False,draw_majority
stage0,,4e6899db82df56c7,elimination,elimination/0/0,0.000000,0.000000,1.0000,1.00,,,False,too_short
stage0,,093ad70ca43242d1,threshold,threshold/3/2,0.500000,0.500000,1.0000,66.83,,,True,
stage0,,fc62c6d89ac0751d,threshold,threshold/3/2,-0.062500,0.000000,0.9583,50.21,,,True,
stage0,,242a5bf4d12d57d0,elimination,elimination/0/0,0.000000,0.000000,1.0000,1.00,,,False,too_short
stage0,,6de57b6e89647c64,elimination,elimination/0/0,0.000000,0.000000,1.0000,1.00,,,False,too_short
stage0,,43fc76aa3cc8f0ba,elimination,elimination/0/0,0.000000,0.000000,1.0000,1.00,,,False,too_short
stage0,,cafc06c2ed38d0b9,threshold,threshold/3/1,0.083333,0.083333,1.0000,26.25,,,True,
stage0,,5b387b192e6d5dc5,connection,connection/2/2,0.479167,0.479167,0.9583,42.50,,,True,
stage0,,208de68b235e2a63,threshold,threshold/3/1,0.000000,0.000000,1.0000,27.17,,,True,
stage0,,4f127435ae6ea426,connection,connection/1/1,0.375000,0.375000,0.9167,29.00,,,True,
stage0,,83653205563ba660,threshold,threshold/4/1,0.437500,0.437500,0.9583,38.21,,,True,
stage0,,1f380a26cb7b4c86,threshold,threshold/3/1,0.000000,0.000000,1.0000,34.25,,,True,
stage0,,fbd830c30bdd9268,threshold,threshold/4/1,0.104167,0.104167,0.2917,49.67,,,False,draw_majority
stage0,,fcf180e3538bc838,connection,connection/4/2,0.208333,0.208333,1.0000,37.12,,,True,
