cell,child_canon,child_t1_floored,child_t1_raw,outcome,parent_canon,parent_t1_floored,parent_t1_raw,step
territory/3/3,85f2965c149865c71583984c3ba171d48f5677e4eeeaf57615628cefb4acae58,0.0,0.0,t1_invalid_draw_majority,3766623b13cfc5b55c9bc78de11aa288bff213391e18da1ceedabe4df0e6c97f,0.41666666666666663,0.41666666666666663,45
connection/2/1,969a45318a02a4a3e315717f7610916805778eb0b88e53ab11fdbfc1913bb7f7,0.375,0.375,lost_first_batch,5e7b8899abde1216f8bf8b34bb3b5281b1b85985e52f7f4e488599fce875c012,0.5,0.5,46
connection/3/1,99c09702718a5766304e4e71527e3686d460faad2cba8188043e699d2e1f6655,0.0625,0.0625,t1_invalid_draw_majority,866574be004e6346eab9248d64cc5a10198ef3bb913887feffe7380e1184de5e,0.29166666666666663,0.29166666666666663,47
territory/4/3,197a48e94993ba29fc41792af4be75dc3d7b4e9ba1e1a816f1ddc810f05c2df5,0.45833333333333337,0.45833333333333337,guard_vetoed_tilt,db19267ac6aeb9ac341e6303a34133411fe54f3cf0105335d760cc5722672a4a,0.45833333333333337,0.45833333333333337,48
elimination/0/0,b663379de6f1e3c990307dafb7d41e053c83de839ba41ce05459946abfdb2dec,0.0,0.0,t1_invalid_too_short,21e02e73648b3c47160f7b6a49e1bcbfc163af40f53ad6726ea14267f19320d0,0.41666666666666663,0.41666666666666663,49
elimination/0/0,bd58a10c38cde51959a59850c05eeba60b3ed45f85a2526f8f6278d7d0aa49b0,0.0,0.0,t1_invalid_too_short,2a48b047cfedb14c800e37dd3964a081296674b8b37724016f86807037c2812e,0.5,0.5,50
elimination/0/0,4afbc2a59096a9131a5df49fce384a7a8e3f2e2e014627be9761fa2aff6979a9,0.0,0.0,t1_invalid_too_short,eb87eae703d22a7d7443c6423df48d6fd18695352f45d8982af273df9ef13fb6,0.45833333333333337,0.45833333333333337,51
connection/4/1,0b632ee9355e676cf801d8cb62b6cb6e25114cf6a37c20d73f01ea1769e05028,0.33333333333333337,0.33333333333333337,lost_first_batch,b461c5160c5ed04233dd29faf1100243fd2f73c0799f0650f2fcdae5d56e69cb,0.5,0.5,52
territory/4/3,a6e6dfd9631cca79a4eb22a0e43ffaa62fffa97433015be13565547bbac9b34e,0.27083333333333337,0.27083333333333337,lost_first_batch,f6d9a822ddf2a52fcca714adb2e422aea31de052a0b96c574cfc60ce24667364,0.41666666666666663,0.41666666666666663,53
territory/4/3,6bc5c87a7ecad830ea55c8cb9cb4864228d5e6db689d82ce4901cd696da86b24,0.0,0.0,t1_invalid_draw_majority,f6d9a822ddf2a52fcca714adb2e422aea31de052a0b96c574cfc60ce24667364,0.41666666666666663,0.41666666666666663,54
connection/3/2,f0517feccedf748c232e5374de6930a48350529faf3049af3f7436918180772a,0.5,0.5,lost_first_batch,5b387b192e6d5dc5fb247d9bb915b66fd6f513dc1a6c6275fadc72099cca5380,0.47916666666666663,0.47916666666666663,55
territory/4/2,488b52ab3a5e24af840247e2b3d7c0e1794e2dd68b121afd237c27459ada7a78,0.41666666666666663,0.41666666666666663,lost_first_batch,db19267ac6aeb9ac341e6303a34133411fe54f3cf0105335d760cc5722672a4a,0.45833333333333337,0.45833333333333337,56
connection/4/2,c2c85d662db49f386fbbb748ee1b9b431454478272cebdde06f57fe777e1dab0,0.375,0.375,invalid_draw_majority,17f660bc480f84f191884f2bc7f81acf9938ec2e501f0cade2d9a22095b73772,0.5,0.5,57
