section,arm,canon,family,cell,pooled_drama,pooled_n,interaction,length,valid,outcome
stage0,,3c4829084ab14bff,elimination,,0.000000,100,0.000000,1.01,False,too_short
stage0,,6b5c2b4301134a50,threshold,,0.049048,100,0.148273,17.73,True,
stage0,,675d33350b9b2b83,connection,,0.133590,100,0.291943,54.96,True,
stage0,,f1450a06f0f2cbae,threshold,,nan,100,0.000000,2.00,False,draw_majority
final_elite,M,a40902de76635638,connection,1/1,0.057597,200,,,,
final_elite,M,b0fe73976f00b972,connection,1/2,0.102820,250,,,,
final_elite,M,fb9005d78bb50407,connection,1/3,0.099157,150,,,,
final_elite,M,5b9dab35ae694904,connection,2/1,0.080558,250,,,,
final_elite,M,d2e094d48ffefb74,connection,2/2,0.076365,250,,,,
final_elite,M,14f4a9259517e7d4,connection,2/3,0.052128,200,,,,
final_elite,M,377162170fc74470,connection,3/1,0.074733,250,,,,
final_elite,M,bb90108650b29386,connection,3/2,0.131451,250,,,,
final_elite,M,7cdee83302a7fb1f,connection,3/3,0.137998,250,,,,
final_elite,M,d4e6891f020ed311,connection,4/1,0.189391,250,,,,
final_elite,M,6bb81fa1e85a3d0f,connection,4/2,0.167749,250,,,,
final_elite,M,39555e472e8cd0d8,connection,4/3,0.141071,250,,,,
final_elite,M,16353ad358bbcf9c,territory,0/1,0.214258,200,,,,
final_elite,M,9206c425e6712427,territory,0/2,0.167289,100,,,,
final_elite,M,f2255b34561232e8,territory,1/1,0.210858,200,,,,
final_elite,M,6268727424dae39d,territory,1/2,0.221798,250,,,,
final_elite,M,eff268fbf365bc64,territory,1/3,0.201569,200,,,,
final_elite,M,eabd7f112ee90e68,territory,2/1,0.224630,200,,,,
final_elite,M,da710e791535459c,territory,2/2,0.238347,200,,,,
final_elite,M,d7c5f3baa09a4b3e,territory,2/3,0.187624,100,,,,
final_elite,M,546094ee97b0f7ab,territory,3/1,0.196507,250,,,,
final_elite,M,d9d9470e96463e9b,territory,3/2,0.248279,250,,,,
final_elite,M,0a52a5ba3ef25c15,territory,3/3,0.204506,250,,,,
final_elite,M,4b0c4eec331c6200,territory,4/1,0.154907,250,,,,
final_elite,M,945cc9b628bb2fc8,territory,4/2,0.242275,250,,,,
final_elite,M,a24a9ae77253dc4d,territory,4/3,0.237203,250,,,,
final_elite,M,180433b56ee4d6ea,territory,4/4,0.205483,250,,,,
final_elite,M,208b9ec95ab99996,threshold,1/0,0.049872,200,,,,
final_elite,M,645210096fbdeb4d,threshold,1/1,0.044988,250,,,,
final_elite,M,299954b9c6baa285,threshold,2/0,0.056148,250,,,,
final_elite,M,611024aefcfc73b6,threshold,2/1,0.065189,250,,,,
final_elite,M,e037a7c08980e77b,threshold,2/2,0.033464,100,,,,
final_elite,M,32ed665bd5d7db65,threshold,3/0,0.053980,200,,,,
final_elite,M,52cac81a9d90fd18,threshold,3/1,0.092730,250,,,,
